city,vacancy_count,share,role_distribution_json,company_distribution_json,work_mode_distribution_json
Pfäffikon,7,0.0013,"[{""role_category"": ""software_engineering"", ""vacancy_count"": 4.0, ""share_within_city"": 0.5714, ""rank"": 1}, {""role_category"": ""data_ai"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 2}, {""role_category"": ""product_project_analysis"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 3}, {""role_category"": ""qa_testing"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 4}]","[{""company"": ""LGT Capital Partners AG"", ""vacancy_count"": 3.0, ""share_within_city"": 0.4286, ""rank"": 1}, {""company"": ""Threema GmbH"", ""vacancy_count"": 2.0, ""share_within_city"": 0.2857, ""rank"": 2}, {""company"": ""HUBER+SUHNER AG"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 3}, {""company"": ""OI Wild GmbH"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 4}]","[{""work_mode"": ""hybrid"", ""vacancy_count"": 5.0, ""share_within_city"": 0.7143, ""rank"": 1}, {""work_mode"": ""Unknown"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 2}, {""work_mode"": ""remote"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 3}]"
Stabio,7,0.0013,"[{""role_category"": ""data_ai"", ""vacancy_count"": 4.0, ""share_within_city"": 0.5714, ""rank"": 1}, {""role_category"": ""erp_business_systems"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 2}, {""role_category"": ""product_project_analysis"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 3}, {""role_category"": ""software_engineering"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 4}]","[{""company"": ""VF International Sagl"", ""vacancy_count"": 5.0, ""share_within_city"": 0.7143, ""rank"": 1}, {""company"": ""VF Corporation"", ""vacancy_count"": 2.0, ""share_within_city"": 0.2857, ""rank"": 2}]","[{""work_mode"": ""Unknown"", ""vacancy_count"": 7.0, ""share_within_city"": 1.0, ""rank"": 1}]"
"Wallisellen / Hof, Zurich, Switzerland",7,0.0013,"[{""role_category"": ""data_ai"", ""vacancy_count"": 2.0, ""share_within_city"": 0.2857, ""rank"": 1}, {""role_category"": ""software_engineering"", ""vacancy_count"": 2.0, ""share_within_city"": 0.2857, ""rank"": 2}, {""role_category"": ""devops_cloud_platform"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 3}, {""role_category"": ""erp_business_systems"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 4}, {""role_category"": ""security"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 5}]","[{""company"": ""Expleo Group"", ""vacancy_count"": 2.0, ""share_within_city"": 0.2857, ""rank"": 1}, {""company"": ""Adcubum AG"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 2}, {""company"": ""Arrow Electronics"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 3}, {""company"": ""Astellas Pharma"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 4}, {""company"": ""SoftwareOne"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 5}, {""company"": ""Stadler"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1429, ""rank"": 6}]","[{""work_mode"": ""Unknown"", ""vacancy_count"": 4.0, ""share_within_city"": 0.5714, ""rank"": 1}, {""work_mode"": ""hybrid"", ""vacancy_count"": 3.0, ""share_within_city"": 0.4286, ""rank"": 2}]"
Adliswil,6,0.0011,"[{""role_category"": ""security"", ""vacancy_count"": 5.0, ""share_within_city"": 0.8333, ""rank"": 1}, {""role_category"": ""devops_cloud_platform"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}]","[{""company"": ""Kudelski S.A."", ""vacancy_count"": 4.0, ""share_within_city"": 0.6667, ""rank"": 1}, {""company"": ""NAGRA"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}, {""company"": ""SKIDATA"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 3}]","[{""work_mode"": ""remote"", ""vacancy_count"": 6.0, ""share_within_city"": 1.0, ""rank"": 1}]"
Altishofen,6,0.0011,"[{""role_category"": ""devops_cloud_platform"", ""vacancy_count"": 2.0, ""share_within_city"": 0.3333, ""rank"": 1}, {""role_category"": ""product_project_analysis"", ""vacancy_count"": 2.0, ""share_within_city"": 0.3333, ""rank"": 2}, {""role_category"": ""data_ai"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 3}, {""role_category"": ""support_operations"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 4}]","[{""company"": ""Galliker Transport AG"", ""vacancy_count"": 6.0, ""share_within_city"": 1.0, ""rank"": 1}]","[{""work_mode"": ""remote"", ""vacancy_count"": 6.0, ""share_within_city"": 1.0, ""rank"": 1}]"
Basel Metropolitan Area,6,0.0011,"[{""role_category"": ""product_project_analysis"", ""vacancy_count"": 2.0, ""share_within_city"": 0.3333, ""rank"": 1}, {""role_category"": ""data_ai"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}, {""role_category"": ""erp_business_systems"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 3}, {""role_category"": ""security"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 4}, {""role_category"": ""support_operations"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 5}]","[{""company"": ""SystemsAccountants"", ""vacancy_count"": 2.0, ""share_within_city"": 0.3333, ""rank"": 1}, {""company"": ""BCIC Swiss GmBH | Best Connect International Company"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}, {""company"": ""CLEEVEN"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 3}, {""company"": ""MDPI"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 4}, {""company"": ""SRG"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 5}]","[{""work_mode"": ""Unknown"", ""vacancy_count"": 2.0, ""share_within_city"": 0.3333, ""rank"": 1}, {""work_mode"": ""hybrid"", ""vacancy_count"": 2.0, ""share_within_city"": 0.3333, ""rank"": 2}, {""work_mode"": ""onsite"", ""vacancy_count"": 2.0, ""share_within_city"": 0.3333, ""rank"": 3}]"
Bottighofen,6,0.0011,"[{""role_category"": ""product_project_analysis"", ""vacancy_count"": 3.0, ""share_within_city"": 0.5, ""rank"": 1}, {""role_category"": ""software_engineering"", ""vacancy_count"": 3.0, ""share_within_city"": 0.5, ""rank"": 2}]","[{""company"": ""Blackroll AG"", ""vacancy_count"": 3.0, ""share_within_city"": 0.5, ""rank"": 1}, {""company"": ""HolidayCheck"", ""vacancy_count"": 2.0, ""share_within_city"": 0.3333, ""rank"": 2}, {""company"": ""Europartner Consulting GmbH"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 3}]","[{""work_mode"": ""hybrid"", ""vacancy_count"": 4.0, ""share_within_city"": 0.6667, ""rank"": 1}, {""work_mode"": ""Unknown"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}, {""work_mode"": ""onsite"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 3}]"
Bubendorf,6,0.0011,"[{""role_category"": ""security"", ""vacancy_count"": 3.0, ""share_within_city"": 0.5, ""rank"": 1}, {""role_category"": ""devops_cloud_platform"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}, {""role_category"": ""product_project_analysis"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 3}, {""role_category"": ""support_operations"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 4}]","[{""company"": ""Bachem AG"", ""vacancy_count"": 4.0, ""share_within_city"": 0.6667, ""rank"": 1}, {""company"": ""Aequor Consulting GmbH"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}, {""company"": ""Bachem"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 3}]","[{""work_mode"": ""hybrid"", ""vacancy_count"": 4.0, ""share_within_city"": 0.6667, ""rank"": 1}, {""work_mode"": ""Unknown"", ""vacancy_count"": 2.0, ""share_within_city"": 0.3333, ""rank"": 2}]"
"Buchs (SG), St Gallen, Switzerland",6,0.0011,"[{""role_category"": ""product_project_analysis"", ""vacancy_count"": 3.0, ""share_within_city"": 0.5, ""rank"": 1}, {""role_category"": ""data_ai"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}, {""role_category"": ""devops_cloud_platform"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 3}, {""role_category"": ""security"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 4}]","[{""company"": ""Hilti Group"", ""vacancy_count"": 5.0, ""share_within_city"": 0.8333, ""rank"": 1}, {""company"": ""BRUSA Elektronik"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}]","[{""work_mode"": ""Unknown"", ""vacancy_count"": 4.0, ""share_within_city"": 0.6667, ""rank"": 1}, {""work_mode"": ""hybrid"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}, {""work_mode"": ""onsite"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 3}]"
Heerbrugg,6,0.0011,"[{""role_category"": ""software_engineering"", ""vacancy_count"": 5.0, ""share_within_city"": 0.8333, ""rank"": 1}, {""role_category"": ""qa_testing"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}]","[{""company"": ""SFS Group Schweiz AG"", ""vacancy_count"": 4.0, ""share_within_city"": 0.6667, ""rank"": 1}, {""company"": ""AEROCONTACT"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 2}, {""company"": ""SFS Group"", ""vacancy_count"": 1.0, ""share_within_city"": 0.1667, ""rank"": 3}]","[{""work_mode"": ""Unknown"", ""vacancy_count"": 6.0, ""share_within_city"": 1.0, ""rank"": 1}]"
