framework_library,vacancy_count,share
react,316,0.0581
angular,267,0.0491
spring,233,0.0428
spark,154,0.0283
kubernetes,97,0.0178
pytorch,91,0.0167
nodejs,85,0.0156
dbt,78,0.0143
vue,73,0.0134
docker,67,0.0123
tensorflow,59,0.0108
airflow,53,0.0097
pandas,39,0.0072
fastapi,38,0.007
boost,37,0.0068
openshift,36,0.0066
scikit_learn,36,0.0066
nextjs,34,0.0062
terraform,29,0.0053
power bi,28,0.0051
