seniority,salary_count,average_salary,median_salary,min_salary,max_salary,rank
manager,64,103983,107750,55000,180000,1
senior,107,103514,100000,70000,148000,2
mid,54,100347,96574,51750,152125,3
Unknown,20,94797,95047,70000,125278,4
junior,19,86983,89000,42000,120000,5
intern,8,59149,40000,40000,120000,6
