company,vacancy_count,share
Sonic Suisse SSD,6,0.0011
Sopra Steria,6,0.0011
Sozialversicherungsanstalt des Kantons Zürich SVA,6,0.0011
Speechify,6,0.0011
Swisslinx,6,0.0011
Swissquote Bank SA,6,0.0011
Tecan Schweiz AG,6,0.0011
UPGREAT AG,6,0.0011
VERISIGN,6,0.0011
Vitol,6,0.0011
Winterthur Gas & Diesel AG,6,0.0011
Zühlke Group,6,0.0011
AXA,5,0.0009
Amazon Web Services (AWS),5,0.0009
Ambit Group AG,5,0.0009
Avalect GmbH,5,0.0009
Aveniq AG,5,0.0009
BCG Platinion,5,0.0009
BMK Recruitment,5,0.0009
Bachem AG,5,0.0009
Bank J. Safra Sarasin,5,0.0009
Besi Switzerland AG,5,0.0009
C5I,5,0.0009
CTC Analytics AG,5,0.0009
CTC Resourcing Solutions,5,0.0009
Callista,5,0.0009
Cargill,5,0.0009
Concordia,5,0.0009
EKZ Eltop AG,5,0.0009
Emil Frey Gruppe Schweiz,5,0.0009
Energie Service Biel/Bienne (ESB),5,0.0009
Europartner Consulting GmbH,5,0.0009
Evergreen Human Resources AG,5,0.0009
Fincons Group AG,5,0.0009
"G. et F. Châtelain, succursale de Chanel SARL",5,0.0009
Harmattan AI,5,0.0009
IBM,5,0.0009
InfoGuard AG,5,0.0009
Init7 (Schweiz) AG,5,0.0009
Itecor Suisse SA,5,0.0009
KEMARO AG,5,0.0009
Kanton Basel-Stadt,5,0.0009
LLB - Liechtensteinische Landesbank AG,5,0.0009
Letec IT Solutions AG,5,0.0009
MAZARS SA,5,0.0009
Meanquest,5,0.0009
Merkle,5,0.0009
Michael Bailey Associates,5,0.0009
Microsoft,5,0.0009
Mirabit AG,5,0.0009
NOVA-Industrietechnik AG,5,0.0009
Novartis AG,5,0.0009
Oettinger Davidoff AG,5,0.0009
PQM Consulting AG,5,0.0009
SCOR Services Switzerland AG,5,0.0009
SIGA Services AG,5,0.0009
Scalera AG,5,0.0009
Schweizer Armee - Kommando Cyber Kdo Cy,5,0.0009
Skysec Defence GmbH,5,0.0009
Snyk,5,0.0009
SpeciTec SA,5,0.0009
Stadler,5,0.0009
Swiss Medical Network,5,0.0009
Thermoplan AG,5,0.0009
Thoratec Switzerland GmbH,5,0.0009
Valora Group,5,0.0009
Viseca Payment Services SA,5,0.0009
Visium,5,0.0009
Wavestone,5,0.0009
ZHAW Zürcher Hochschule für Angewandte Wissenschaften,5,0.0009
Zettaplan AG,5,0.0009
addexpert GmbH,5,0.0009
AEW Energie AG,4,0.0007
AGRIDEA Schweizerische Vereinigung für die Entwicklung der Landwirtschaft und des ländlichen Raums,4,0.0007
AMAG Group,4,0.0007
ATSP Schweiz GmbH,4,0.0007
AYES - Management & Technology Consulting,4,0.0007
Abbott AG,4,0.0007
Aequor Consulting GmbH,4,0.0007
Alltitude SA,4,0.0007
Ammann Schweiz AG,4,0.0007
Artefact,4,0.0007
Atlas Copco (Schweiz) AG,4,0.0007
Avictis,4,0.0007
Axpo Gruppe,4,0.0007
BANK-now AG,4,0.0007
BELIMO Automation AG,4,0.0007
BKW Energie AG,4,0.0007
BSgroup Financial Solutions AG,4,0.0007
Bank CIC (Schweiz) AG,4,0.0007
Banque Syz SA,4,0.0007
Baumer Group,4,0.0007
Bechtle,4,0.0007
Bechtle Suisse SA,4,0.0007
Belimed Life Science AG,4,0.0007
Beltronic IT AG,4,0.0007
COOP,4,0.0007
CSL Behring AG,4,0.0007
CWS-boco Suisse SA,4,0.0007
Chestonag Automation AG,4,0.0007
Coders Connect,4,0.0007
Curaden AG,4,0.0007
DXC Technology Switzerland GmbH,4,0.0007
Dentsu International Switzerland AG,4,0.0007
Digital HR Ecosystem GmbH,4,0.0007
ELCA Cloud Services SA,4,0.0007
ELCA Security SA,4,0.0007
Ecorobotix SA,4,0.0007
Ekkiden,4,0.0007
Energy Vault SA,4,0.0007
Equans Switzerland AG,4,0.0007
Eraneos,4,0.0007
Erni Schweiz AG,4,0.0007
FORUM MONDIAL DE L'ECONOMIE,4,0.0007
Finders SA,4,0.0007
G-20 Group,4,0.0007
H55 SA,4,0.0007
HCLTech,4,0.0007
HINT AG,4,0.0007
HOCH Health Ostschweiz,4,0.0007
Hexagon AB,4,0.0007
IT ADVANCED CONSULTING SA,4,0.0007
ITRIS One AG,4,0.0007
Implenia Schweiz AG,4,0.0007
Insel Gruppe,4,0.0007
JOB WATCH SA,4,0.0007
Jörg Lienert AG,4,0.0007
KPMG Switzerland,4,0.0007
Kanadevia Inova,4,0.0007
Klinik Im Hasel AG,4,0.0007
Knowledge Lab AG,4,0.0007
Kudelski S.A.,4,0.0007
Kurath Engineering AG,4,0.0007
LGT Capital Partners AG,4,0.0007
Lambda Health System SA,4,0.0007
Legartis,4,0.0007
LocalBini,4,0.0007
Lombard Odier Group,4,0.0007
Luzerner Kantonalbank,4,0.0007
MTF Solutions AG,4,0.0007
