date,published_count,closed_count,net_change,growth_rate
2026-01-01,1,0,1,
2026-01-02,1,0,1,0.0
2026-01-05,1,0,1,0.0
2026-01-06,7,0,7,6.0
2026-01-07,5,0,5,-0.2857
2026-01-08,2,0,2,-0.6
2026-01-09,6,0,6,2.0
2026-01-10,8,0,8,0.3333
2026-01-11,2,0,2,-0.75
2026-01-13,9,0,9,3.5
2026-01-14,9,0,9,0.0
2026-01-15,6,0,6,-0.3333
2026-01-16,12,0,12,1.0
2026-01-17,3,0,3,-0.75
2026-01-18,1,0,1,-0.6667
2026-01-19,1,0,1,0.0
2026-01-20,4,0,4,3.0
2026-01-21,12,0,12,2.0
2026-01-22,5,0,5,-0.5833
2026-01-23,3,0,3,-0.4
2026-01-24,9,0,9,2.0
2026-01-25,5,0,5,-0.4444
2026-01-26,2,0,2,-0.6
2026-01-28,10,0,10,4.0
2026-01-29,18,0,18,0.8
2026-01-30,8,0,8,-0.5556
2026-01-31,7,0,7,-0.125
2026-02-01,4,0,4,-0.4286
2026-02-02,3,0,3,-0.25
2026-02-03,9,0,9,2.0
2026-02-04,9,0,9,0.0
2026-02-05,9,0,9,0.0
2026-02-06,9,0,9,0.0
2026-02-07,10,0,10,0.1111
2026-02-09,10,0,10,0.0
2026-02-10,7,0,7,-0.3
2026-02-11,5,0,5,-0.2857
2026-02-12,10,0,10,1.0
2026-02-13,12,0,12,0.2
2026-02-14,14,0,14,0.1667
2026-02-15,1,0,1,-0.9286
2026-02-16,5,0,5,4.0
2026-02-17,6,0,6,0.2
2026-02-18,9,0,9,0.5
2026-02-19,7,0,7,-0.2222
2026-02-20,14,0,14,1.0
2026-02-21,6,0,6,-0.5714
2026-02-22,1,0,1,-0.8333
2026-02-24,4,0,4,3.0
2026-02-25,16,0,16,3.0
2026-02-26,10,0,10,-0.375
2026-02-27,9,0,9,-0.1
2026-02-28,11,0,11,0.2222
2026-03-01,1,0,1,-0.9091
2026-03-02,6,0,6,5.0
2026-03-03,10,0,10,0.6667
2026-03-04,15,0,15,0.5
2026-03-05,9,0,9,-0.4
2026-03-06,42,0,42,3.6667
2026-03-07,9,0,9,-0.7857
2026-03-09,13,0,13,0.4444
2026-03-10,31,0,31,1.3846
2026-03-11,28,0,28,-0.0968
2026-03-12,32,0,32,0.1429
2026-03-13,28,0,28,-0.125
2026-03-14,8,0,8,-0.7143
2026-03-16,27,0,27,2.375
2026-03-17,46,0,46,0.7037
2026-03-18,55,0,55,0.1957
2026-03-19,34,0,34,-0.3818
2026-03-20,37,0,37,0.0882
2026-03-21,10,0,10,-0.7297
2026-03-22,2,0,2,-0.8
2026-03-23,40,0,40,19.0
2026-03-24,38,0,38,-0.05
2026-03-25,48,0,48,0.2632
2026-03-26,98,0,98,1.0417
2026-03-27,65,0,65,-0.3367
2026-03-28,14,0,14,-0.7846
2026-03-29,5,0,5,-0.6429
2026-03-30,71,0,71,13.2
2026-03-31,36,0,36,-0.493
2026-04-01,154,0,154,3.2778
2026-04-02,266,0,266,0.7273
2026-04-03,25,0,25,-0.906
2026-04-04,9,0,9,-0.64
2026-04-05,3,0,3,-0.6667
2026-04-06,16,0,16,4.3333
2026-04-07,65,0,65,3.0625
2026-04-08,57,0,57,-0.1231
2026-04-09,300,0,300,4.2632
2026-04-10,74,0,74,-0.7533
2026-04-11,25,0,25,-0.6622
2026-04-12,26,0,26,0.04
2026-04-13,83,0,83,2.1923
2026-04-14,75,247,-172,-0.0964
2026-04-15,78,0,78,0.04
2026-04-16,440,0,440,4.641
2026-04-17,149,216,-67,-0.6614
2026-04-18,115,0,115,-0.2282
2026-04-19,28,0,28,-0.7565
2026-04-20,103,0,103,2.6786
2026-04-21,170,333,-163,0.6505
2026-04-22,235,0,235,0.3824
2026-04-23,79,0,79,-0.6638
2026-04-24,69,0,69,-0.1266
2026-04-25,94,0,94,0.3623
2026-04-26,29,0,29,-0.6915
2026-04-27,72,195,-123,1.4828
2026-04-28,139,0,139,0.9306
2026-04-29,132,0,132,-0.0504
2026-04-30,218,1876,-1658,0.6515
2026-05-01,48,0,48,-0.7798
2026-05-02,10,0,10,-0.7917
2026-05-03,7,0,7,-0.3
2026-05-04,72,0,72,9.2857
2026-05-05,172,0,172,1.3889
2026-05-06,130,0,130,-0.2442
2026-05-07,131,0,131,0.0077
2026-05-08,168,0,168,0.2824
2026-05-09,126,0,126,-0.25
2026-05-10,36,712,-676,-0.7143
2026-05-11,92,0,92,1.5556
2026-05-12,149,0,149,0.6196
2026-05-13,164,0,164,0.1007
2026-05-14,108,0,108,-0.3415
2026-05-15,134,0,134,0.2407
2026-05-16,19,790,-771,-0.8582
2026-05-17,10,0,10,-0.4737
2026-05-18,79,0,79,6.9
2026-05-19,128,0,128,0.6203
2026-05-20,108,0,108,-0.1562
2026-05-21,117,0,117,0.0833
2026-05-22,128,0,128,0.094
2026-05-23,105,0,105,-0.1797
2026-05-24,10,735,-725,-0.9048
2026-05-25,40,0,40,3.0
2026-05-26,106,0,106,1.65
2026-05-27,111,0,111,0.0472
2026-05-28,138,0,138,0.2432
2026-05-29,184,0,184,0.3333
2026-05-30,122,0,122,-0.337
2026-05-31,13,687,-674,-0.8934
2026-06-01,152,0,152,10.6923
2026-06-02,158,0,158,0.0395
2026-06-03,141,0,141,-0.1076
2026-06-04,148,0,148,0.0496
2026-06-05,199,0,199,0.3446
2026-06-06,42,0,42,-0.7889
2026-06-07,36,681,-645,-0.1429
2026-06-08,144,0,144,3.0
2026-06-09,172,0,172,0.1944
2026-06-10,178,0,178,0.0349
2026-06-11,175,0,175,-0.0169
2026-06-12,379,15,364,1.1657
2026-06-13,30,0,30,-0.9208
