framework_library,vacancy_count,share
angular,456,0.0609
spring,411,0.0549
react,368,0.0492
spark,155,0.0207
nodejs,92,0.0123
pytorch,69,0.0092
dbt,65,0.0087
vue,55,0.0073
tensorflow,45,0.006
boost,41,0.0055
nextjs,40,0.0053
airflow,39,0.0052
scikit_learn,38,0.0051
pandas,30,0.004
symfony,28,0.0037
fastapi,28,0.0037
express,23,0.0031
laravel,20,0.0027
numpy,17,0.0023
django,14,0.0019
