canton,vacancy_count,share
ZH,4898,0.5756
BE,866,0.1018
VD,611,0.0718
GE,515,0.0605
Unknown,331,0.0389
AG,165,0.0194
LU,161,0.0189
BS,153,0.018
ZG,119,0.014
SG,111,0.013
TI,92,0.0108
SO,85,0.01
BL,67,0.0079
NE,55,0.0065
FR,52,0.0061
GR,51,0.006
TG,48,0.0056
SZ,33,0.0039
AR,27,0.0032
VS,22,0.0026
SH,16,0.0019
NW,13,0.0015
OW,8,0.0009
GL,5,0.0006
UR,4,0.0005
AI,1,0.0001
