metric,value
published_total,4981
closed_total,3064
latest_publication_date,2026-04-23
published_30d,3535
published_previous_30d,635
growth_30d,4.5669
published_90d,4394
published_previous_90d,246
growth_90d,16.8618
published_180d,4640
published_previous_180d,213
growth_180d,20.784
published_365d,4853
published_previous_365d,105
growth_365d,45.219
