role_category,vacancy_count,share
software_engineering,1175,0.3168
devops_cloud_platform,692,0.1866
product_project_analysis,518,0.1397
support_operations,412,0.1111
security,380,0.1025
data_ai,282,0.076
qa_testing,127,0.0342
erp_business_systems,95,0.0256
ux_ui_design,28,0.0075
