skill,vacancy_count,share
agile,751,0.2025
python,556,0.1499
devops,471,0.127
sql,464,0.1251
ci_cd,454,0.1224
git,413,0.1114
azure,392,0.1057
linux,382,0.103
kubernetes,316,0.0852
java,311,0.0839
docker,224,0.0604
aws,195,0.0526
powershell,181,0.0488
react,167,0.045
csharp,162,0.0437
dotnet,141,0.038
ansible,140,0.0377
scrum,137,0.0369
terraform,137,0.0369
typescript,134,0.0361
