company,vacancy_count,share
Banque Cantonale Vaudoise,5,0.001
Besi Switzerland AG,5,0.001
Bobst Mex SA,5,0.001
CSS,5,0.001
CTC Analytics AG,5,0.001
CTC Resourcing Solutions,5,0.001
Callista,5,0.001
Cargill,5,0.001
Dentsu International Switzerland AG,5,0.001
ETH Zürich,5,0.001
EY (Ernst & Young AG),5,0.001
Energie Service Biel/Bienne (ESB),5,0.001
Finders SA,5,0.001
"G. et F. Châtelain, succursale de Chanel SARL",5,0.001
Harmattan AI,5,0.001
Helbling Technik,5,0.001
IBM,5,0.001
ITRIS One AG,5,0.001
Init7 (Schweiz) AG,5,0.001
Itecor Suisse SA,5,0.001
KEMARO AG,5,0.001
LGT,5,0.001
Letec IT Solutions AG,5,0.001
Merkle,5,0.001
Michael Bailey Associates,5,0.001
Microsoft,5,0.001
Mirabit AG,5,0.001
NOVA-Industrietechnik AG,5,0.001
Oettinger Davidoff AG,5,0.001
PQM Consulting AG,5,0.001
SIGA Services AG,5,0.001
Scalera AG,5,0.001
Schweizer Armee - Kommando Cyber Kdo Cy,5,0.001
Skysec Defence GmbH,5,0.001
Snyk,5,0.001
Stadler,5,0.001
Swiss Medical Network,5,0.001
Thoratec Switzerland GmbH,5,0.001
Visium,5,0.001
Wavestone,5,0.001
ZHAW Zürcher Hochschule für Angewandte Wissenschaften,5,0.001
Zettaplan AG,5,0.001
addexpert GmbH,5,0.001
ti&m,5,0.001
Ärztekasse Genossenschaft,5,0.001
AEW Energie AG,4,0.0008
AGRIDEA Schweizerische Vereinigung für die Entwicklung der Landwirtschaft und des ländlichen Raums,4,0.0008
ATSP Schweiz GmbH,4,0.0008
AYES - Management & Technology Consulting,4,0.0008
Abbott AG,4,0.0008
Albedis AG,4,0.0008
Artefact,4,0.0008
Avalect GmbH,4,0.0008
Avictis,4,0.0008
Axians Amanox AG,4,0.0008
Axpo Group,4,0.0008
BANK-now AG,4,0.0008
BKW Energie AG,4,0.0008
BSgroup Financial Solutions AG,4,0.0008
Bachem AG,4,0.0008
Bank CIC (Schweiz) AG,4,0.0008
Banque Syz SA,4,0.0008
Baumer Group,4,0.0008
Bechtle,4,0.0008
Bechtle Suisse SA,4,0.0008
Belimed Life Science AG,4,0.0008
Berner Fachhochschule,4,0.0008
C5I,4,0.0008
Chestonag Automation AG,4,0.0008
Coders Connect,4,0.0008
Curaden AG,4,0.0008
DXC Technology Switzerland GmbH,4,0.0008
Digital HR Ecosystem GmbH,4,0.0008
ELCA Cloud Services SA,4,0.0008
ELCA Security SA,4,0.0008
Ekkiden,4,0.0008
Energy Vault SA,4,0.0008
Equans Switzerland AG,4,0.0008
Eraneos,4,0.0008
Europartner Consulting GmbH,4,0.0008
Evergreen Human Resources AG,4,0.0008
Fincons Group AG,4,0.0008
G-20 Group,4,0.0008
H55 SA,4,0.0008
HCLTech,4,0.0008
HINT AG,4,0.0008
Hexagon AB,4,0.0008
Implenia Schweiz AG,4,0.0008
InfoGuard AG,4,0.0008
Insel Gruppe,4,0.0008
Intersim AG,4,0.0008
Jörg Lienert AG,4,0.0008
KPMG Switzerland,4,0.0008
Kanton Basel-Stadt,4,0.0008
Kudelski S.A.,4,0.0008
Kurath Engineering AG,4,0.0008
LLB - Liechtensteinische Landesbank AG,4,0.0008
Legartis,4,0.0008
LocalBini,4,0.0008
Lombard Odier Group,4,0.0008
MAZARS SA,4,0.0008
MTF Solutions AG,4,0.0008
Manexperts (Schweiz) GmbH,4,0.0008
Medacta Italia,4,0.0008
NOVO Business Consultants AG,4,0.0008
Nexplore AG,4,0.0008
Novartis AG,4,0.0008
Nozomi Networks,4,0.0008
PEAX AG,4,0.0008
PMS SCHÖNENBERGER AG,4,0.0008
PRIME INTERNATIONAL GROUP Sàrl,4,0.0008
Pascal Dietrich Consulting AG,4,0.0008
PostFinance,4,0.0008
Qim info,4,0.0008
RJC Group,4,0.0008
RUAG,4,0.0008
Relewant,4,0.0008
Ricola AG,4,0.0008
Ripple,4,0.0008
SCOR Services Switzerland AG,4,0.0008
SFS Group Schweiz AG,4,0.0008
SIGMALIS Sàrl,4,0.0008
SRG,4,0.0008
SSI Schäfer AG,4,0.0008
SWICA Gesundheitsorganisation,4,0.0008
SkyCell AG,4,0.0008
Skysec Defence,4,0.0008
Sonic Suisse SSD,4,0.0008
Sonio AG,4,0.0008
Specialized Bicycle Components,4,0.0008
Swiss International Air Lines AG,4,0.0008
Swiss National Bank,4,0.0008
Swiss Re,4,0.0008
SwissPeak Partners,4,0.0008
Swisslog AG,4,0.0008
Swissquote Bank SA,4,0.0008
Switch,4,0.0008
Sword Group,4,0.0008
Talan,4,0.0008
Taurus SA,4,0.0008
Teleflex,4,0.0008
Thermoplan AG,4,0.0008
Threema GmbH,4,0.0008
Transgourmet/Prodega Schweiz,4,0.0008
UBS,4,0.0008
UNITY Schweiz AG,4,0.0008
Universitätsspital Basel,4,0.0008
Varian Medical Systems Imaging Laboratory GmbH,4,0.0008
Viseca Payment Services SA,4,0.0008
Ziemer Ophthalmic Systems AG,4,0.0008
Zürcher Kantonalbank,4,0.0008
act digital,4,0.0008
at rete ag,4,0.0008
dynamic devices AG,4,0.0008
emineo AG,4,0.0008
green.ch AG,4,0.0008
itesys AG,4,0.0008
swisspro AG,4,0.0008
uniQconsulting ag,4,0.0008
A. Baggenstos & Co AG,3,0.0006
ABB,3,0.0006
AGILITA,3,0.0006
Abraxas Informatik AG,3,0.0006
Adobe,3,0.0006
Aequor Consulting GmbH,3,0.0006
Albedis SA,3,0.0006
Artificialy,3,0.0006
Ashby,3,0.0006
Assura,3,0.0006
Atlas Copco (Schweiz) AG,3,0.0006
Aventit AG,3,0.0006
BELIMO Automation AG,3,0.0006
BOBST,3,0.0006
Blackroll AG,3,0.0006
BlueCare AG,3,0.0006
Braintrust,3,0.0006
CH Media Holding AG,3,0.0006
CIC (Switzerland),3,0.0006
COOP,3,0.0006
Carrosserie HESS AG,3,0.0006
Celerion Switzerland AG,3,0.0006
Cognizant,3,0.0006
Computer Futures,3,0.0006
Concordia,3,0.0006
Convotis,3,0.0006
Coop,3,0.0006
Crypto Finance AG,3,0.0006
DV Bern AG,3,0.0006
Daco-Systems AG,3,0.0006
