role_category,vacancy_count,share
devops_cloud_platform,1358,0.3489
software_engineering,1191,0.306
product_project_analysis,421,0.1082
support_operations,316,0.0812
security,202,0.0519
data_ai,188,0.0483
Unknown,95,0.0244
erp_business_systems,72,0.0185
qa_testing,41,0.0105
ux_ui_design,8,0.0021
