skill,vacancy_count,share
azure,676,0.1737
java,587,0.1508
agile,557,0.1431
ci_cd,553,0.1421
devops,515,0.1323
sql,479,0.1231
docker,444,0.1141
git,442,0.1136
python,426,0.1095
kubernetes,422,0.1084
linux,393,0.101
dotnet,341,0.0876
csharp,340,0.0874
angular,294,0.0755
spring,243,0.0624
react,228,0.0586
javascript,227,0.0583
aws,220,0.0565
rest_api,195,0.0501
terraform,190,0.0488
