canton,vacancy_count,share
ZH,1451,0.3728
Unknown,864,0.222
BE,264,0.0678
BS,232,0.0596
LU,218,0.056
AG,176,0.0452
SG,135,0.0347
ZG,129,0.0331
GE,110,0.0283
SO,91,0.0234
VD,57,0.0146
SH,29,0.0075
TG,28,0.0072
BL,27,0.0069
GR,22,0.0057
SZ,20,0.0051
TI,14,0.0036
NE,12,0.0031
FR,8,0.0021
VS,3,0.0008
AR,1,0.0003
GL,1,0.0003
